강남이란걸 생각하면 나쁘지 않지만 예약해서 구석에 좋은자리 잡았나 했더니 테이블에 벨이 없어 뭐 하나 필요할 때마다 직접 직원 찾으러 가야하고 고기는 구워주신다고 해서 갔더니 구워 먹으라고 하시네요,ok
인생커피를 찾았습니다,good
내게 평냉의 세계를 열어준 곳 평냉 추종자가 여기가 자기의 최애라며 데리고 간 집답게 나 외에 다른 한명도 처음이었는데 둘 다 전도 당하고 그날부터 진미앓이 시작 처음엔 뭐지 싶다가 먹으면서 해장되는 것 같은 깔끔하면서 깊고 감칠 맛 나는 육수에 중독돼서 리필해가면서 세시간 가량 수다 떨었다물론 만두도 제육도 냉면과 잘 어울리며 매우 맛있음 제육 한 점에 냉면 돌돌 싸먹는 맛이란 크으 지인의 말에 의하면 제육과 만두는 요망한 맛이란다 ㅋㅋㅋ 국물맛이 자꾸 생각나서 얼마전 다른 평냉 초보랑 또 다녀왔다 평냉 입문자가 가도 맛있게 먹고 고개 끄덕이는 맛만두랑 제육은 반씩 주문 가능해서 둘이 가도 다양하게 먹을 수 있어 좋음 ㅎㅎ 다만 가격대는 평냉집들이 그러하듯 싼 편이 아님,good
크로아상은 보통이었는데 파리의연인 이라는 이름의 빵이 맛있어요 올리브와 마카다미아 넛 같은게 굉장히 맛있게 씹히면서도 딱딱하지 않고 부드러운 식감이에요 식사빵이나 발효빵 좋아하시는 분들에겐 추천ㅎㅎ 같이 나온 라떼는 이코복스입니다,good
신사동 치고는 가격도 괜찮고 샐러드 풍성해요 맛있어요,good
강서면옥 재방문 역시 실망시키지 않는 면발 메밀향 육향 슴슴함 육수에 무맛이 내입맛에 조금 거슬리지만 훌륭한 맛 입구에 군밤 한봉지 천원 맛있습니다,good
너무 맛있다 떡볶이맛같기도 하고 너무 맛있음 진짜로 세젤맛 인생에서 젤맛있는 닭볶음탕이다소짜 남녀둘이 먹으면 딱맞는다야채도 숭덩숭덩 풍부하고 너무 너무 맛있음맨날 먹거 싶슴다할호점은 맛 별루에여 ㅠㅠ 맛없는건 아닌데 뭔가 덜달고 덜졸여져서 나와요 ㅠㅠ 여기서 배민라이더스 하던데 여기선 시켜먹지 말아야지,good
자주 먹는 건강식 샐러드 잇딜로 할인받아서 잘 먹었다,good
분위기 좋고 서비스 좋고 일식 다이닝 맛집 중 손 꼽히는곳 괜히 수요미식회에 나온게 아닌거 같네요,good
디너식사부덴푸라우동콤보원 덴푸라자루우동콤보원 치킨가라아게원메뉴판 첨부했어용ㅋ덴푸라 안먹고 싶은데 저녁에 가서 저녁식사부로만 시켜야하더라고요 자루우동만 시킬 수가 없어서 아쉬웠어요 스키야키우동이나 김치나베카레우동은 단품으로 팔더라고용ㅋㅋㅋ 우동 단가차이때문에 이런건가봐요자루우동을 많이 기대했는데 의외로 그냥 따뜻한 우동이 맛있어서 기분 좋았어요자루우동은 적당히 쫀득하고 탱글했구요 마간장쯔유에 찍어먹어 끈적하게 우동면에 소스가 잘 묻어 맛있게 먹었어요 면발은 일본처럼 상당히 긴 편이었어요 모두 오래 삽시다그냥 우동은 따뜻하고 간이 적당했어요 짠 맛이 유독 튀거나 하는 거 없이 담백했고 우동면에 골고루 그 맛이 스며들었더라고요 자루우동에 비해 쫀득함은 덜하지만 그래도 쫀득했고 부드러웠어요 ㅋㅋㅋ씹으면 씹을수록 즐겁고 고소해서 좋은데 전 성격이 급해서 오래 천천히 씹으며 우동을 즐기지 못했네요 ㅋㅋㅋㅋ 아 다진 소고기도 들어가 있어서 고기 건져먹는 맛도 쏠쏠해요 얼마 없지만 ㅋ튀김은 되게 바삭하더라고요 고구마 호박 not 호구마 아스파라거스같은 초록 길쭉한 채소 새우튀김이 나와요ㅋㅋ튀김은 자루우동 쏘스에 찍어먹든가 국물에 담궈 먹으라는데 국물도 소스도 자극적이지 않아서 먹다보면 약간 느끼해용 ㅋㅋ느끼할 땐 더 느끼할 거 같은 닭튀김을 먹어줍니다 가라아게는 유자폰즈소스와 나오는데 얘가 느끼함을 다 끝내줍니다 상큼하고 고소하네요 튀김옷은 바삭하고 닭고기는 닭다리살이라 부드러워요 하지만 일본에서 먹던 그 특유의 꼬소함은 없어서 아쉬웠네요그래도 꽤 만족스러웠어요,good
